UML_ID,Mill_Name,Group_Name,Group,Parent_Com,Parent Company,Comments,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,ISO,Country,Province,District,Confidence,Alternativ,Type,Alt Names
PO1000000021,BUATAN I,ROYAL GOLDEN EAGLE,Royal Golden Eagle (RGE),INTI INDOSAWIT SUBUR,,,RSPO Certified,"RSPO Certified, MB",2019-10-31,0.43444000000,101.82500000000,IDN,Indonesia,Riau,Siak,2-High Confidence,,,"PKS BUATAN I,,PT INTI INDOSAWIT SUBUR BUATAN I,INTI INDOSAWIT SUBUR (PKS BUATAN I),INTI INDOSAWIT SUBUR,,,,,BUATAN 1,ASIAN AGRI,BUATAN I MILL,INTI INDOSAWIT SUBUR (BUATAN I),PULAI POM,BUATAN I (PBS)"
PO1000000052,PAMOL SABAH,IOI CORPORATION,IOI,PAMOL ESTATES (SABAH) SDN BHD,,,RSPO Certified,"RSPO Certified, IP",2019-10-31,6.00243000000,117.39839000000,MYS,Malaysia,Sabah,Beluran,1-Fully Verified,,,"PAMOL SABAH POM,,PAMOL,PAMOL OIL MILL,,,,,,,,,,,,,,PAMOL ESTATES (SABAH) SDN. BHD.,PAMOL ESTATES (SABAH) SDN. BHD.,IOI CORPORATION BHD,IOI CORPORATION BHD,IOI CORPORATION BHD,PAMOL ESTATES (SABAH) SDN BHD - PAMOL SABAH PALM OIL MILL,PAMOL ESTATES (SABAH) SDN BHD - PAMOL SABAH PALM OIL MILL,PAMOL SABAH PALM OIL MILL,PAMOL SABAH PALM OIL MILL,,,PAMOL 0IL MILL,PAMOL ESTATE - PAMOL SABAH POM,PAMOL (SABAH)"
PO1000000053,HARGY MILL,SIPEF,SIPEF,HARGY OIL PALM LIMITED,Hargy Oil Palms,,RSPO Certified,"RSPO Certified, IP",2019-10-31,-5.31111000000,151.01097000000,PNG,Papua New Guinea,West New Britain,Talasea,1-Fully Verified,,,"HARGY,,,,,,,,,HARGY MILL*,SIPEF,HARGY PALM OIL MILL - SIPEF,HARGY PALM OIL MILL"
PO1000000054,BATANG KULIM,MUSIM MAS,Musim Mas,MUSIM MAS,Musim Mas,,RSPO Certified,"RSPO Certified, IP",2019-10-31,0.07704000000,102.03084000000,IDN,Indonesia,Riau,Pelalawan,1-Fully Verified,,,"MUSIM MAS-BATANG KULIM,PT MUSIM MAS PABRIK KELAPA SAWIT BATANG KULIM,,,,,,,,,,,,,,PT INDOMAKMUR SAWIT BERJAYA (PASIR PANG,MUSIM MAS,MUSIM MAS,BATANG KULIM PALM OIL MILL"
PO1000000058,SUNGAI LILIN,CARGILL,Cargill,HINDOLI,Hindoli,,RSPO Certified,"RSPO Certified, IP",2019-10-31,-2.60810000000,104.12525000000,IDN,Indonesia,Sumatera Selatan,Musi Banyuasin,2-High Confidence,,,"HINDOLI (SUNGAI LILIN),,S.LILIN,HINDOLI SUNGAI LILIN,SUNGAI LILIN (HINDOLI),,,,,,,,HINDOLI (PKS SEI LILIN),,,,S. LILIN,S. LILIN,CARGILL INCORPORATED,CARGILL INCORPORATED,HINDOLI (SUNGAI LILIN MILL),CARGILL,CARGILL-HINDOLI - SUNGAI LILIN,"
PO1000000063,BINUANG (SOU 28),SIME DARBY,Sime Darby Guthrie (SDGI),SIME DARBY PLANTATION BHD,Sime Darby Guthrie (SDGI),,RSPO Certified,"RSPO Certified, IP",2019-10-31,4.70446000000,118.06019000000,MYS,Malaysia,Sabah,Kunak,1-Fully Verified,,,"BINUANG,BINUANG OIL MILL,,BINUANG(SOU 28),BINUANG
PALM OIL MILL,,,,,,,,,,,,,,BINUANG POM,KILANG KELAPA SAWIT BINUANG,KILANG KELAPA SAWIT BINUANG,SIME DARBY PLANTATION (SABAH) SDN BHD,PAHANG,,,BINUANG OIL (SOU 28)"
PO1000000064,MEROTAI (SOU 30),SIME DARBY,Sime Darby Guthrie (SDGI),SIME DARBY PLANTATION BHD,Sime Darby Guthrie (SDGI),,RSPO Certified,"RSPO Certified, MB",2019-10-31,4.36935000000,117.83291000000,MYS,Malaysia,Sabah,Tawau,1-Fully Verified,,,"MEROTAI,,MEROTAI
PALM OIL MILL,,,,,,,,,,,,,KKS MEROTAI,,MEROTAI OIL MILL,,,,,,,SINAR SAWIT LESTARI MILL,,,MEROTAI (SOU 30) PALM OIL MILL,,"
PO1000000065,SANDAKAN BAY (SOU 26),SIME DARBY,Sime Darby Guthrie (SDGI),SIME DARBY PLANTATION BHD,Sime Darby Guthrie (SDGI),,RSPO Certified,"RSPO Certified, MB",2019-10-31,5.64136000000,118.16687000000,MYS,Malaysia,Sabah,Sandakan,1-Fully Verified,,,"SANDAKAN BAY,,SANDAKAN BAY(SOU26),SANDAKAN
BAY PALM OIL
MILL,SANDAKAN BAY POM,,,,,,,,,,,,,KKS SANDAKAN BAY,,,,,,,,SANDAKAN BAY PALM OIL MILL,,SANDAKAN BAY (SOU 26) PALM
OIL MILL,,"
PO1000000066,SABAHMAS,WILMAR,Wilmar,SABAHMAS PLANTATION SDN BHD,,,RSPO Certified,"RSPO Certified, MB",2019-10-31,5.17916000000,118.40525000000,MYS,Malaysia,Sabah,Lahad Datu,1-Fully Verified,,,"SABAHMAS PLANTATIONS,SABAHMAS PLANTATIONS SDN BHD,,SABAHMAS PLANTATION,SABAHMAS POM,,,,,,,,,,,,,,,,,KILANG KELAPA SAWIT SABAHMAS,KILANG KELAPA SAWIT SABAHMAS,SABAHMAS PLANTATIONS SDN BHD - PPB OIL PALMS BERHAD,SABAHAMAS PLANTATIONS,,"
PO1000000091,SAREMAS 1,WILMAR,Wilmar,SAREMAS SDN BHD,,,RSPO Certified,"RSPO Certified, MB",2019-10-31,3.52492000000,113.74441000000,MYS,Malaysia,Sarawak,Miri,1-Fully Verified,,,"SAREMAS MILL SDN BHD (MILL 1),,PPB OIL PALMS BERHAD - SAREMAS MILL 1,,,,,,,,SAREMAS MILL 1,SAREMAS SDN. BHD.,SAREMAS SDN. BHD.,SAREMAS POM I-PBB OIL PALMS BHD,PPB OIL PALMS BERHAD - SAREMAS MILL
1,,,,,,"
PO1000000092,AGROWIRATAMA,MUSIM MAS,Musim Mas,AGRO WIRATAMA,,,RSPO Certified,"RSPO Certified, IP",2019-10-31,0.19896000000,99.62659000000,IDN,Indonesia,Sumatera Barat,Pasaman Barat,1-Fully Verified,,,"AGROWIRATAMA (PASAMAN),,BUMI SAWINDO PERMAI,,PT AGROWIRATAMA,PT. AGROWIRATAMA,MUSIM MAS,MUSIM MAS,AGROWIRATAMA POM"
PO1000000093,SAREMAS 2,WILMAR,Wilmar,SAREMAS SDN BHD,,,RSPO Certified,"RSPO Certified, IP",2019-10-31,3.45045000000,113.76556000000,MYS,Malaysia,Sarawak,Miri,1-Fully Verified,,,"SAREMAS MILL SDN BHD (MILL 2),,PPB OIL PALMS BERHAD - SAREMAS MILL 2,,,,,SAREMAS MILL 2,KILANG KELAPA SAWIT SAREMAS II,KILANG KELAPA SAWIT SAREMAS II,PPB OIL PALMS BHD,SAREMAS POM II-PBB OIL PALMS BHD,PPB OIL PALMS BERHAD - SAREMAS MILL
2,,,,,,"
PO1000000094,GOMALI,IOI CORPORATION,IOI,IOI CORPORATION BERHAD,IOI,,RSPO Certified,"RSPO Certified, IP",2019-10-31,2.61183000000,102.67866000000,MYS,Malaysia,Johor,Segamat,1-Fully Verified,,,"GOMALI PALM OIL MILL,,,,,,,,,,,,,,,GOMALI POM,GOMALI PALM OIL MILL SDN BHD,KKS GOMALI,IOI GOMALI PALM OIL MILL,,,KILANG KELAPA SAWIT GOMALI,KILANG KELAPA SAWIT GOMALI,IOI CORPORATION BHD,IOI CORPORATION BHD,IOI CORPORATION BHD,DYNAMIC PLANTATIONS BHD - GOMALI PALM OIL MILL,DYNAMIC PLANTATIONS BHD - GOMALI PALM OIL MILL,BABULU MILL,,,,IOI GOMALI,,DYNAMIC PLANTATIONS BHD -
GOMALI PALM OIL MILL"
PO1000000095,BUKIT MARADJA,SIPEF,SIPEF,EASTERN SUMATERA INDONESIA,,,RSPO Certified,"RSPO Certified, IP",2019-10-31,3.01229000000,99.23557000000,IDN,Indonesia,Sumatera Utara,Simalungun,1-Fully Verified,,,"EASTERN SUMATRA INDONESIA (BUKIT MARADJA),,EASTERN SUMATRA INDONESIA,BUKIT MARADJA POM,,,,,,,,,,,,,,,,,MARADJA),SIPEF,BUKIT MARADJA PALM OIL MILL,EASTERN SUMATRA INDONESIA (BUKIT
MARADJA)"
PO1000000097,EAST (SOU 8),SIME DARBY,Sime Darby Guthrie (SDGI),SIME DARBY PLANTATION BHD,Sime Darby Guthrie (SDGI),,RSPO Certified,"RSPO Certified, IP",2019-10-31,2.88333000000,101.43614000000,MYS,Malaysia,Selangor,Kuala Langat,1-Fully Verified,,,"EAST,EAST OIL MILL,,EAST OIL MILL  SOU 8,SOU 8 EAST,EAST OIL MILL (SOU8),EAST PALM OIL MILL,,,,,TUNJUK LAUT POM,KKS EAST,,,,,,,SIME DARBY PLANTATION SDN BHD,SIME DARBY PLANTATION SDN BHD,EAST OIL MILL - SIME DARBY,EAST OIL MILL - SIME DARBY,EAST OIL MILL SIME DARBY,,,EAST 0IL MILL (S0U8),,,EAST (SOU 08)"
PO1000000098,TANAH MERAH (SOU 14),SIME DARBY,Sime Darby Guthrie (SDGI),SIME DARBY PLANTATION BHD,Sime Darby Guthrie (SDGI),,RSPO Certified,"RSPO Certified, IP",2019-10-31,2.65528000000,101.79278000000,MYS,Malaysia,Negeri Sembilan,Port Dickson,1-Fully Verified,,,"TANAH MERAH,KKS TANAH MERAH,,TANAH MERAH OIL MILL,TANAH MERAH(SOU14),KILANG KELAPA SAWIT TANAH MERAH,,,,,KILANG KELAPA SAWIT TANAH
MERAH,,,,,,,SIME DARBY PLANTATION SDN BHD,SIME DARBY PLANTATION SDN BHD,TANAH MERAH OIL MILL - SIME DARBY,TANAH MERAH OIL MILL - SIME DARBY,TANAH MERAH OIL MILL -SIME DARBY,,,TANAH MERAH(50U14)"
PO1000000099,PERLABIAN,SIPEF,SIPEF,TOLAN TIGA INDONESIA,,,RSPO Certified,"RSPO Certified, IP",2019-10-31,2.06138000000,100.08122000000,IDN,Indonesia,Sumatera Utara,Labuhanbatu Selatan,1-Fully Verified,,,"TOLAN TIGA INDONESIA,,PT TOLAN TIGA INDONESIA,TOLAN TIGA INDONESIA (PERLABIAN),,,,,,,,,,,,,,PT CITRA INDAH PERTIWI,PERLABIAN POM,SIPEF,PERLABIAN PALM OIL MILL,TOLAN TIGA INDONESIA / PERLABIAN,"
PO1000000101,SEGALIUD (SOU 25),SIME DARBY,Sime Darby Guthrie (SDGI),SIME DARBY PLANTATION BHD,Sime Darby Guthrie (SDGI),,Not RSPO Certified,,2019-10-31,5.72600000000,117.75457000000,MYS,Malaysia,Sabah,Sandakan,1-Fully Verified,,,SEGALIUD
